title,genre,store,ownership,status,rating,hours_played,completion_percentage,priority,date_added,notes,steam_appid
Counter-Strike 2,Unknown,Steam,Owned,In Progress,0,3352.4,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 730,730
Earth 2160,Unknown,Steam,Owned,In Progress,0,9.7,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 1900,1900
Two Worlds: Epic Edition,Unknown,Steam,Owned,In Progress,0,9.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 1930,1930
Heroes of Annihilated Empires,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 4800,4800
Cossacks II: Battle for Europe,Unknown,Steam,Owned,In Progress,0,0.1,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 4890,4890
Ghost Master,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 6200,6200
Two Worlds II HD,Unknown,Steam,Owned,In Progress,0,6.3,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 7520,7520
7 Wonders II,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 15900,15900
Samantha Swift and the Hidden Roses of Athena,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 16020,16020
F.E.A.R. 2: Project Origin,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 16450,16450
Stronghold Crusader Extreme HD,Unknown,Steam,Owned,In Progress,0,0.2,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 16700,16700
The Witcher 2: Assassins of Kings Enhanced Edition,Unknown,Steam,Owned,In Progress,0,17.5,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 20920,20920
F.E.A.R.,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 21090,21090
F.E.A.R. 3,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 21100,21100
F.E.A.R.: Extraction Point,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 21110,21110
F.E.A.R.: Perseus Mandate,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 21120,21120
Zeno Clash,Unknown,Steam,Owned,In Progress,0,5.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 22200,22200
Puzzle Kingdoms,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 23700,23700
Iron Grip: Warlord,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 31700,31700
Luxor Mahjong,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 32110,32110
Midnight Mysteries: The Edgar Allan Poe Conspiracy,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 32140,32140
Zombie Bowl-O-Rama,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 32160,32160
Sniper Ghost Warrior 2,Unknown,Steam,Owned,In Progress,0,4.1,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 34870,34870
Stronghold Crusader HD,Unknown,Steam,Owned,In Progress,0,3.4,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 40970,40970
Victoria II,Unknown,Steam,Owned,In Progress,0,4.5,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 42960,42960
Stronghold 3,Unknown,Steam,Owned,In Progress,0,27.2,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 47400,47400
Jagged Alliance - Back in Action,Unknown,Steam,Owned,In Progress,0,4.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 57740,57740
Glowfish,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 60350,60350
HOARD,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 63000,63000
Dino D-Day,Unknown,Steam,Owned,In Progress,0,4.5,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 70000,70000
Hacker Evolution - Untold,Unknown,Steam,Owned,In Progress,0,4.5,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 70110,70110
Worms,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 70640,70640
Xotic,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 92600,92600
Puzzle Agent 2,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 94590,94590
Runespell: Overture,Unknown,Steam,Owned,In Progress,0,4.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 102200,102200
inMomentum,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 110400,110400
APB Reloaded,Unknown,Steam,Owned,In Progress,0,12.4,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 113400,113400
American Conquest,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 115210,115210
Super Toy Cars,Unknown,Steam,Owned,In Progress,0,5.5,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 116100,116100
Waveform,Unknown,Steam,Owned,In Progress,0,3.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 204180,204180
Pickers,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 204440,204440
Luxor Evolved,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 205830,205830
Midnight Mysteries: Salem Witch Trials,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 208620,208620
Midnight Mysteries 3: Devil on the Mississippi,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 208630,208630
Blades of Time,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 208670,208670
Rune Classic,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 210950,210950
Tower Wars,Unknown,Steam,Owned,In Progress,0,4.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 214360,214360
Demonicon,Unknown,Steam,Owned,In Progress,0,4.7,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 215630,215630
Alien Rage - Unlimited,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 217920,217920
Retro/Grade,Unknown,Steam,Owned,In Progress,0,4.1,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 222660,222660
7 Wonders: Ancient Alien Makeover,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 223000,223000
POSTAL 2,Unknown,Steam,Owned,In Progress,0,4.4,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 223470,223470
Euro Truck Simulator 2,Unknown,Steam,Owned,In Progress,0,24.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 227300,227300
Warframe,Unknown,Steam,Owned,In Progress,0,1.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 230410,230410
Stronghold Crusader 2,Unknown,Steam,Owned,In Progress,0,36.3,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 232890,232890
Planetary Annihilation,Unknown,Steam,Owned,In Progress,0,8.1,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 233250,233250
Sudeki,Unknown,Steam,Owned,In Progress,0,4.1,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 233350,233350
Luxor 2 HD,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 234350,234350
Project CARS,Unknown,Steam,Owned,In Progress,0,36.2,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 234630,234630
Prime World: Defenders,Unknown,Steam,Owned,In Progress,0,4.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 235360,235360
Eador. Genesis,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 235660,235660
Agricultural Simulator 2013 Steam Edition,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 236790,236790
Realms of Arkania: Blade of Destiny,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 237550,237550
System Shock® 2 (1999),Unknown,Steam,Owned,In Progress,0,4.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 238210,238210
Outlast,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 238320,238320
Middle-earth™: Shadow of Mordor™,Unknown,Steam,Owned,In Progress,0,47.3,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 241930,241930
Betrayer,Unknown,Steam,Owned,In Progress,0,5.5,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 243120,243120
PixelJunk™ Monsters Ultimate,Unknown,Steam,Owned,In Progress,0,8.3,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 243780,243780
Assetto Corsa,Unknown,Steam,Owned,In Progress,0,8.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 244210,244210
Velocity®Ultra,Unknown,Steam,Owned,In Progress,0,4.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 244890,244890
Wizardry 8,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 245450,245450
Kingdom Rush,Unknown,Steam,Owned,In Progress,0,3.5,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 246420,246420
Secrets of Rætikon,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 246680,246680
Depth Hunter 2: Deep Dive,Unknown,Steam,Owned,In Progress,0,7.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 248530,248530
Megabyte Punch,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 248550,248550
Rust,Unknown,Steam,Owned,In Progress,0,320.7,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 252490,252490
Skyscraper Simulator,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 252910,252910
Rescue: Everyday Heroes,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 253130,253130
Bus-Simulator 2012,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 253770,253770
Knights and Merchants,Unknown,Steam,Owned,In Progress,0,3.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 253900,253900
Gorky 17,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 253920,253920
Septerra Core,Unknown,Steam,Owned,In Progress,0,5.3,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 253940,253940
Enclave,Unknown,Steam,Owned,In Progress,0,4.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 253980,253980
PixelJunk™ Shooter,Unknown,Steam,Owned,In Progress,0,3.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 255870,255870
Blood Knights,Unknown,Steam,Owned,In Progress,0,4.7,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 258220,258220
Professional Farmer 2014,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 258880,258880
Earth 2150: The Moon Project,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 259280,259280
Hero of the Kingdom,Unknown,Steam,Owned,In Progress,0,3.7,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 259550,259550
Agricultural Simulator: Historical Farming,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 259890,259890
War of the Human Tanks,Unknown,Steam,Owned,In Progress,0,8.1,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 263400,263400
Pixel Piracy,Unknown,Steam,Owned,In Progress,0,6.3,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 264140,264140
Airport Simulator 2014,Unknown,Steam,Owned,In Progress,0,1.3,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 267600,267600
Woodcutter Simulator 2013,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 267610,267610
EVGA Precision X1,Unknown,Steam,Owned,In Progress,0,7.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 268850,268850
Super Motherload,Unknown,Steam,Owned,In Progress,0,3.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 269110,269110
Bardbarian,Unknown,Steam,Owned,In Progress,0,4.2,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 269490,269490
Etherlords,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 270770,270770
Etherlords II,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 270790,270790
GAUGE,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 272990,272990
Towtruck Simulator 2015,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 273760,273760
Mining & Tunneling Simulator,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 273820,273820
Warehouse and Logistics Simulator,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 273940,273940
Z,Unknown,Steam,Owned,In Progress,0,5.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 275530,275530
FATE: Undiscovered Realms,Unknown,Steam,Owned,In Progress,0,3.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 276890,276890
Heroes of Legionwood,Unknown,Steam,Owned,In Progress,0,3.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 278590,278590
Disciples Sacred Lands Gold,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 281450,281450
Dead Effect,Unknown,Steam,Owned,In Progress,0,7.5,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 286040,286040
METAL GEAR SOLID V: THE PHANTOM PAIN,Unknown,Steam,Owned,In Progress,0,160.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 287700,287700
Ropeway Simulator 2014,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 289910,289910
TransOcean: The Shipping Company,Unknown,Steam,Owned,In Progress,0,3.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 289930,289930
The Hat Man: Shadow Ward,Unknown,Steam,Owned,In Progress,0,3.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 291010,291010
Firefighters 2014,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 291910,291910
Just Survive,Unknown,Steam,Owned,In Progress,0,18.9,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 295110,295110
Lovely Planet,Unknown,Steam,Owned,In Progress,0,4.3,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 298600,298600
Roadside Assistance Simulator,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 302440,302440
Ryse: Son of Rome,Unknown,Steam,Owned,In Progress,0,11.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 302510,302510
BlazeRush,Unknown,Steam,Owned,In Progress,0,4.9,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 302710,302710
FOR HONOR,Unknown,Steam,Owned,In Progress,0,149.2,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 304390,304390
Qora,Unknown,Steam,Owned,In Progress,0,4.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 304460,304460
The Howler,Unknown,Steam,Owned,In Progress,0,3.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 306040,306040
Crystals of Time,Unknown,Steam,Owned,In Progress,0,3.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 306410,306410
Fancy Skulls,Unknown,Steam,Owned,In Progress,0,4.5,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 307090,307090
Stick RPG 2,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 307640,307640
RC Mini Racers,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 311820,311820
Data Hacker: Initiation,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 311860,311860
DIG IT! - A Digger Simulator,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 311910,311910
Saviors,Unknown,Steam,Owned,In Progress,0,3.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 314450,314450
Polarity,Unknown,Steam,Owned,In Progress,0,4.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 315430,315430
Prophour23,Unknown,Steam,Owned,In Progress,0,3.9,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 317610,317610
Velocibox,Unknown,Steam,Owned,In Progress,0,4.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 317710,317710
StuntMANIA Reloaded,Unknown,Steam,Owned,In Progress,0,4.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 324750,324750
Deep Dungeons of Doom,Unknown,Steam,Owned,In Progress,0,3.7,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 325090,325090
Logistics Company,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 328310,328310
Frozen Synapse Prime,Unknown,Steam,Owned,In Progress,0,4.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 328600,328600
Data Hacker: Corruption,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 329000,329000
QbQbQb,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 329320,329320
NAM,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 329650,329650
bit Dungeon II,Unknown,Steam,Owned,In Progress,0,4.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 331440,331440
Data Hacker: Reboot,Unknown,Steam,Owned,In Progress,0,3.4,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 331790,331790
rFactor,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 339790,339790
