steam_appid,name,bucket,reason,release_date,owners,steam_reviews,hltb_page_without_times,top_tags
346750,Merchant,endless,dominant online/idle tags,2018-10-08,6,572,False,"Free to Play, RPG, Simulation, Pixel Graphics, Casual"
303720,#KILLALLZOMBIES,endless,dominant online/idle tags,2016-08-10,4,309,True,"Action, Indie, Twin Stick Shooter, Co-op, Shooter"
2258480,Gunforged,endless,dominant online/idle tags,2025-02-17,4,56,False,"Action, Action Roguelike, Roguelike, Shooter, Arena Shooter"
2372170,NIDUS,endless,dominant online/idle tags,2024-02-19,2,209,False,"Psychedelic, Bullet Hell, Arcade, Twin Stick Shooter, Score Attack"
1218940,ETERNAL BLOOD,endless,dominant online/idle tags,2021-02-18,2,105,False,"Arena Shooter, First-Person, Action, Perma Death, Arcade"
1678150,World of Shooting,endless,dominant online/idle tags,2024-02-19,1,790,True,"FPS, Sports, Sandbox, Military, Sniper"
317110,Uncharted Waters Online: Age of Revolution,endless,dominant online/idle tags,,1,611,True,"Free to Play, RPG, Massively Multiplayer, Adventure, Anime"
513440,Path of War,endless,decisive-tags,2016-09-12,1,191,True,"Free to Play, Strategy, Massively Multiplayer, Indie, Multiplayer"
665120,Jetman Go,endless,dominant online/idle tags,2017-09-29,1,175,True,"Action, Casual, Indie, FPS, Multiplayer"
2673310,Gacha Fever,endless,dominant online/idle tags,2024-07-02,1,136,False,"Arena Shooter, Rogue-lite, Top-Down Shooter, Cute, Survival"
2093800,METAL SUITS: Counter-attack,endless,dominant online/idle tags,2025-02-12,1,122,True,"2D Platformer, Action, Side Scroller, Platformer, Hero Shooter"
1471700,Minicology,endless,dominant online/idle tags,2024-04-25,1,65,False,"Simulation, Space Sim, Aliens, Open World Survival Craft, Sandbox"
3480790,Reverie in the Moonlight,endless,dominant online/idle tags,2025-11-09,1,57,False,"Roguelike, Action, Arena Shooter, Roguelite, Cute"
512540,ARK: Scorched Earth - Expansion Pack,endless,dominant online/idle tags,2016-09-01,0,4597,False,"Survival, Adventure, Open World, Dinosaurs, Massively Multiplayer"
4433900,DRAGON BALL: Sparking! ZERO - Super Limit-Breaking NEO,endless,dominant online/idle tags,2026-07-29,0,320,False,"Anime, Action, Multiplayer, Fighting, 3D Fighter"
3594460,WARNO - LANDJUT,endless,dominant online/idle tags,2026-04-16,0,138,False,"Wargame, Military, Real Time Tactics, Strategy, RTS"
1964260,Void Prison,endless,dominant online/idle tags,2022-05-19,0,99,True,"Arcade, Bullet Hell, Twin Stick Shooter, Shooter, Action"
437100,My Night Job,endless,dominant online/idle tags,2016-04-21,0,97,True,"Survival Horror, Pixel Graphics, 1980s, Action, Indie"
3951490,Crowns of History,endless,dominant online/idle tags,2026-03-16,0,93,False,"Roguelike, Strategy, Base Building, RTS, Tower Defense"
1638100,​Cubeetle - Game of creation,endless,dominant online/idle tags,2021-06-12,0,29,False,"Action, Adventure, Software, Action-Adventure, Shooter"
2740040,New ZhaoYun,endless,dominant online/idle tags,2024-01-15,0,22,False,"Casual, Adventure, Action, Simulation, Strategy"
3628070,XFlight: FPV Drone Simulator,endless,dominant online/idle tags,2025-05-12,0,8,False,"Sports, Simulation, Racing, Utilities, Platformer"
1796470,Haste,new,released 17 months ago,2025-04-01,67,13887,False,"Fast-Paced, Action, 3D Platformer, Female Protagonist, Parkour"
1857950,VEIN,new,released 11 months ago,2025-10-24,18,11035,True,"Survival, Open World, Zombies, Base Building, Multiplayer"
431600,Automobilista,new,early access,2016-08-24,16,2432,False,"Racing, Simulation, Automobile Sim, Sports, Multiplayer"
1413020,Superfly,new,early access,2022-06-17,9,596,False,"Action, VR, Open World, Combat, Physics"
787040,Perfect Heist,new,early access,2018-08-17,9,500,False,"Multiplayer, Action, Heist, Indie, Strategy"
282560,RollerCoaster Tycoon World™,new,early access,2016-11-16,8,5791,False,"Simulation, Building, Management, Strategy, Sandbox"
936720,Wrench,new,early access,2018-12-19,7,1626,False,"Building, Automobile Sim, Realistic, Simulation, Immersive Sim"
3039910,Demon Hunt,new,released 14 months ago,2025-07-30,5,454,False,"Bullet Heaven, Action Roguelike, Bullet Hell, Roguelite, Casual"
1221480,Big Hops Together,new,released 8 months ago,2026-01-12,5,442,False,"Casual, Parkour, Cute, Adventure, Platformer"
2208570,Dark Hours,new,released 11 months ago,2025-10-23,4,2477,True,"Horror, Online Co-Op, Multiplayer, Heist, Co-op"
4128400,eBaseball™: PRO SPIRIT,new,released 6 months ago,2026-03-04,4,1462,True,"Action, Sports, Baseball, eSports, PvP"
280440,M.A.V.,new,early access,,4,191,False,"Early Access, Action, Indie, Mechs, Multiplayer"
417730,Shakedown Racing,new,early access,,4,39,True,"Early Access, Racing, Indie, Simulation, Sports"
590830,s&box,new,released 5 months ago,2026-04-27,3,5034,True,"Sandbox, Game Development, Building, Casual, Action"
674090,Sky Haven Tycoon - Airport Simulator,new,early access,2022-11-20,3,1296,True,"Simulation, Strategy, Management, Flight, Building"
2866670,NBA THE RUN,new,released 3 months ago,2026-06-08,3,881,True,"Sports, Basketball, Multiplayer, Stylized, Team-Based"
2845630,Ocean Keeper: Dome Survival,new,released 16 months ago,2025-05-02,3,647,False,"Procedural Generation, Action, Mining, 2D, Atmospheric"
1216230,Project Heartbeat,new,early access,2020-03-26,3,413,True,"Indie, Early Access, Rhythm, Music, Moddable"
244410,Supreme Ruler 1936,new,early access,2014-05-09,3,309,True,"Strategy, Indie, Simulation, Grand Strategy, World War II"
4335460,BOXROOM,new,released 3 months ago,2026-06-10,3,272,True,"Simulation, Software, Life Sim, Building, Decorating"
2667950,Gloomy Eyes,new,released 12 months ago,2025-09-12,3,269,False,
404640,Game Tycoon 2,new,early access,2016-04-08,3,248,False,"Simulation, Strategy, Indie, Management, Game Development"
259450,Drifter,new,early access,2014-03-04,3,207,False,"Simulation, Indie, Space, Sandbox, Action"
3151380,Small Spaces,new,released 16 months ago,2025-05-27,3,177,True,"Building, Design & Illustration, Relaxing, Sandbox, Cozy"
510930,Thirst VR,new,early access,2016-08-10,3,124,False,"Indie, Action, Early Access, VR, On-Rails Shooter"
300760,Epsilon,new,early access,2015-10-01,3,114,False,"Action, Strategy, Early Access, Indie, Tactical"
4322960,Trail & Error,new,released 3 months ago,2026-06-15,3,105,False,"Action, Multiplayer, Online Co-Op, Co-op, Adventure"
3094210,Nullstar: Solus,new,released 5 months ago,2026-04-16,3,74,True,
1776170,Barton Lynch Pro Surfing,new,early access,2023-11-16,3,65,False,"Sports, Action, Simulation, Physics, Character Customization"
354910,Indie Assault,new,early access,,3,10,False,"Early Access, Action"
347220,The Cosmos is MINE!,new,early access,,3,7,True,"Early Access, Strategy, Indie, RTS, Sci-fi"
3624140,Wanderburg,new,released 0 months ago,2026-09-08,2,1472,True,"Early Access, Medieval, Action Roguelike, Bullet Heaven, Driving"
